genre_study,danceability,energy,loudness,speechiness,acousticness,duration_mins,instrumentalness,liveness,valence,tempo
classical,0.37449392712550605,0.164,0.6357791926809668,0.04400826446280992,0.9628514056224899,0.04373814233130658,0.882882882882883,0.11,0.175,0.4514872173058013
country,0.5850202429149797,0.586,0.8036023366508005,0.03491735537190083,0.2600401606425703,0.04321154771042817,3.523523523523524e-06,0.13,0.537,0.49151917404129786
dance/electronic,0.6356275303643725,0.689,0.8166378191259195,0.051859504132231414,0.0711847389558233,0.04779801698904662,0.007547547547547548,0.124,0.431,0.49955752212389376
indie,0.5404858299595142,0.566,0.8029609940038326,0.04018595041322314,0.25702811244979923,0.045062910008589016,0.0006346346346346347,0.123,0.392,0.4915232710586693
jazz/blues/soul,0.5708502024291497,0.525,0.7752055387278235,0.045454545454545456,0.4246987951807229,0.044426112723099355,0.0011811811811811813,0.13,0.576,0.4668264503441494
pop,0.5905870445344129,0.665,0.8303223712678494,0.04808884297520662,0.1822289156626506,0.044777211193108415,1.1811811811811812e-06,0.126,0.49,0.49172197640117987
rap/hip hop,0.7105263157894737,0.61,0.8159578413797367,0.17561983471074383,0.14156626506024095,0.0410111041393947,0.0,0.136,0.476,0.4834152736807603
rock/metal,0.48684210526315785,0.841,0.8351053965506583,0.05154958677685951,0.009899598393574299,0.04785173813383785,0.00020420420420420423,0.153,0.403,0.506952638479187
